date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-01-21,USA-53061,Snohomish,Washington,1,0.14,0.02,0,0,0
2020-01-22,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-23,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-24,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-25,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-26,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-27,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-28,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-29,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-30,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-31,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-01,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-02,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-03,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-04,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-05,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-06,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-07,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-08,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-09,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-10,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-11,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-12,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-13,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-14,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-15,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-16,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-17,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-18,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-19,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-20,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-21,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-22,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-23,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-24,USA-53063,Spokane,Washington,4,0.57,0.11,0,0,0
2020-02-24,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-25,USA-53063,Spokane,Washington,0,0.57,0.11,0,0,0
2020-02-25,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-26,USA-53063,Spokane,Washington,0,0.57,0.11,0,0,0
2020-02-26,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-27,USA-53063,Spokane,Washington,0,0.57,0.11,0,0,0
2020-02-27,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-28,USA-53063,Spokane,Washington,0,0.57,0.11,0,0,0
2020-02-28,USA-53061,Snohomish,Washington,1,0.14,0.02,0,0,0
2020-02-28,USA-53033,King,Washington,1,0.14,0.01,0,0,0
2020-02-29,USA-53063,Spokane,Washington,0,0.57,0.11,0,0,0
2020-02-29,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
